Name,Description,DEPARTMENT,ALT_TELEPHONE_LINE,STREET_NAME,BUILDING_NAME,TYPE,TELEPHONE,UNIT,OPERATING_HOURS,FAX,HSE_BLK_NO,POSTAL_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_29,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Woodlands West Neighbourhood Police Centre</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Woodlands Street 12</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 363 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>-</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>738622</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>18583C712698EBB2</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181123000717</td> </tr></table></center>",Woodlands West Neighbourhood Police Centre,,Woodlands Street 12,,Woodlands Police Divisional (LIMA),1800 363 9999,,24 Hrs,-,1,738622,18583C712698EBB2,20181123000717,1.43346034522444,103.778863094221
kml_30,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Woodleigh Neighbourhood Police Centre</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Upper Aljunied Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td>Woodleigh NPC</td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Ang Mo Kio Police Division (FOXTROT)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td></td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>501</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>367897</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>529553FD7CC26A49</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Woodleigh Neighbourhood Police Centre,,Upper Aljunied Road,Woodleigh NPC,Ang Mo Kio Police Division (FOXTROT),,,24 Hrs,,501,367897,529553FD7CC26A49,20230804153016,1.33887629083968,103.871973065838
kml_31,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kebun Baru Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Ang Mo Kio Avenue 4</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Ang Mo Kio Police Division (FOXTROT)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 458 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6457 4454</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>111</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>560111</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>0548D9673111086A</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kebun Baru Neighbourhood Police Post (Temporarily Closed),,Ang Mo Kio Avenue 4,,Ang Mo Kio Police Division (FOXTROT),1800 458 9999,,Temporarily Closed,6457 4454,111,560111,0548D9673111086A,20230804153016,1.37081634486231,103.836983975506
kml_32,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Hougang Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Hougang Avenue 7</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Ang Mo Kio Police Division (FOXTROT)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 286 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-805</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6382 3066</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>357</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>530357</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>858AE3D15822507D</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Hougang Neighbourhood Police Post (Temporarily Closed),,Hougang Avenue 7,,Ang Mo Kio Police Division (FOXTROT),1800 286 9999,#01-805,Temporarily Closed,6382 3066,357,530357,858AE3D15822507D,20230804153016,1.37294939491514,103.899211342541
kml_33,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Changkat Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Tampines Street 11</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 781 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-261</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6783 2722</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>109</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>521109</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>A3A8B282EF4A33F0</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Changkat Neighbourhood Police Post (Temporarily Closed),,Tampines Street 11,,Bedok Police Division (GOLF),1800 781 9999,#01-261,Temporarily Closed,6783 2722,109,521109,A3A8B282EF4A33F0,20230804153016,1.34740780083602,103.948811829022
kml_34,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Tampines North Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Tampines Street 44</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 781 8999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-56</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6783 8603</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>461</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>520461</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D69C718EBE3BFF0C</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Tampines North Neighbourhood Police Post (Temporarily Closed),,Tampines Street 44,,Bedok Police Division (GOLF),1800 781 8999,#01-56,Temporarily Closed,6783 8603,461,520461,D69C718EBE3BFF0C,20230804153016,1.358839545313,103.954351586688
kml_35,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Tampines East Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Tampines Street 21</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 783 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-138</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6783 2500</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>263</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>520263</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>981E1823349AF72B</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Tampines East Neighbourhood Police Post (Self-Help Kiosks Only),,Tampines Street 21,,Bedok Police Division (GOLF),1800 783 9999,#01-138,24 Hrs (Automated),6783 2500,263,520263,981E1823349AF72B,20230804153016,1.35330602485716,103.951144339486
kml_36,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Radin Mas Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Telok Blangah Crescent</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 271 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-250</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6377 2523</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>15</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>90015</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>56CEC7AF3BF9DCA2</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Radin Mas Neighbourhood Police Post (Self-Help Kiosks Only),,Telok Blangah Crescent,,Central Police Divisional (ALPHA),1800 271 9999,#01-250,24 Hrs (Automated),6377 2523,15,90015,56CEC7AF3BF9DCA2,20230804153016,1.2769891430193,103.82054110637
kml_37,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Siglap Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Upper East Coast Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 448 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6244 4378</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>125</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>455246</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4C39F0D17124418F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Siglap Neighbourhood Police Post (Self-Help Kiosks Only),,Upper East Coast Road,,Bedok Police Division (GOLF),1800 448 9999,,24 Hrs (Automated),6244 4378,125,455246,4C39F0D17124418F,20230804153016,1.31393643204745,103.929731048883
kml_38,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Marine Parade Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Marine Drive</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 440 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-35</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6447 4182</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>74</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>440074</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D70BDDB3412C8409</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Marine Parade Neighbourhood Police Post (Self-Help Kiosks Only),,Marine Drive,,Bedok Police Division (GOLF),1800 440 9999,#01-35,24 Hrs (Automated),6447 4182,74,440074,D70BDDB3412C8409,20230804153016,1.30356091531294,103.907031515807
kml_39,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kampong Kembangan Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Lengkong Tiga #01-215</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 748 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6745 4676</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>112</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>410112</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4E367FC0494E3EF2</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kampong Kembangan Neighbourhood Police Post (Temporarily Closed),,Lengkong Tiga #01-215,,Bedok Police Division (GOLF),1800 748 9999,,Temporarily Closed,6745 4676,112,410112,4E367FC0494E3EF2,20230804153016,1.32348906879637,103.911407845018
kml_40,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Geylang Serai Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Aljunied Crescent</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Bedok Police Division (GOLF)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 745 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-102</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6745 5673</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>111</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>380111</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>52310B93A1B45013</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Geylang Serai Neighbourhood Police Post (Self-Help Kiosks Only),,Aljunied Crescent,,Bedok Police Division (GOLF),1800 745 9999,#01-102,24 Hrs (Automated),6745 5673,111,380111,52310B93A1B45013,20230804153016,1.32037127006271,103.884029086934
kml_41,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kim Seng Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Beo Crescent</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 271 8999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6377 2527</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>5</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>169981</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>35B0B14EDD1770A9</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kim Seng Neighbourhood Police Post (Self-Help Kiosks Only),,Beo Crescent,,Tanglin Police Divisional (ECHO),1800 271 8999,,24 Hrs (Automated),6377 2527,5,169981,35B0B14EDD1770A9,20230804153016,1.28885232131417,103.828136579615
kml_42,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Ayer Rajah Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Teban Gardens Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 565 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-388</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6665 5790</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>43</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>600043</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>DB0BF91991201A5A</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Ayer Rajah Neighbourhood Police Post (Self-Help Kiosks Only),,Teban Gardens Road,,Clementi Police Divisional (DELTA),1800 565 9999,#01-388,24 Hrs (Automated),6665 5790,43,600043,DB0BF91991201A5A,20230804153016,1.32110256460742,103.741674033323
kml_43,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bishan Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Bishan Street 13</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 258 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-565</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6353 6659</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>196</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>570196</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>1D9DB9EC4FD8252F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Bishan Neighbourhood Police Post (Self-Help Kiosks Only),,Bishan Street 13,,Tanglin Police Divisional (ECHO),1800 258 9999,#01-565,24 Hrs (Automated),6353 6659,196,570196,1D9DB9EC4FD8252F,20230804153016,1.34816797748003,103.850312176506
kml_44,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bukit Batok Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Bukit Batok Central</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 563 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-00</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6665 5794</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>103</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>650103</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>364CC3531A64F057</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Bukit Batok Neighbourhood Police Post (Self-Help Kiosks Only),,Bukit Batok Central,,Jurong Police Divisional (JULIET),1800 563 9999,#01-00,24 Hrs (Automated),6665 5794,103,650103,364CC3531A64F057,20230804153016,1.3480706516757,103.747896786401
kml_45,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Boon Lay Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Boon Lay Place</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 261 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-00</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6266 5137</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>210</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>640210</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>24BDF5870C0FC1BA</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Boon Lay Neighbourhood Police Post (Self-Help Kiosks Only),,Boon Lay Place,,Jurong Police Divisional (JULIET),1800 261 9999,#01-00,24 Hrs (Automated),6266 5137,210,640210,24BDF5870C0FC1BA,20230804153016,1.34764592750213,103.7129331846
kml_46,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Marsiling Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Marsiling Lane</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>-</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-183</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>-</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>16</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>730016</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>555E84CD02A78400</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Marsiling Neighbourhood Police Post (Self-Help Kiosks Only),,Marsiling Lane,,Woodlands Police Divisional (LIMA),-,#01-183,24 Hrs (Automated),-,16,730016,555E84CD02A78400,20230804153016,1.44229781781499,103.777878524924
